title	count	total_chars	levels	sites	suggested_band
Twin towns – sister cities	5	307	1,2	Historic Centre of Tallinn; Venice and its Lagoon; Timbuktu...	
International relations	4	66	1	Historic Centre of Vienna; Venice and its Lagoon; Historic Monuments of Ancient Kyoto...	
Conservation	3	9836	1	Petra; Göbekli Tepe; Taos Pueblo	
Middle Ages	2	5591	2	Historic Centre of Vienna; Historic City of Toledo	
Construction	2	4991	1,2	Historic Sanctuary of Machu Picchu; Göbekli Tepe	
Sports	2	4000	2	Historic Monuments of Ancient Kyoto; Kyiv (Saint-Sophia Cathedral)	
Roman period	2	3680	2	Historic Centre of Vienna; Petra	
Layout	2	3552	1,2	Petra; Historic Sanctuary of Machu Picchu	
Railways	2	2720	2,3	Historic Monuments of Ancient Kyoto; Kyiv (Saint-Sophia Cathedral)	
Painting	2	2315	2	Venice and its Lagoon; Venice and its Lagoon	
Railway	2	1850	2	Old Town of Lijiang; Samarkand	
Rail	2	1815	2	Venice and its Lagoon; Historic City of Toledo	
Roads	2	1515	2	Historic Centre of Tallinn; Historic City of Toledo	
Airport	2	1079	2	Historic Centre of Vienna; Old Town of Lijiang	
Buses	2	850	2,3	Historic Centre of Vienna; Historic Monuments of Ancient Kyoto	
Administrative divisions	2	797	1,2	Old Town of Lijiang; Historic Monuments of Ancient Kyoto	
Air	2	493	2	Historic Centre of Tallinn; Historic City of Toledo	
Sister cities	2	289	1,2	Old Town of Lijiang; Historic Monuments of Ancient Kyoto	
Expansion	1	6739	2	Venice and its Lagoon	
Rise and peak (11th and 12th centuries)	1	6281	2	Cahokia Mounds	
Decline (13th and 14th centuries)	1	6013	2	Cahokia Mounds	
Flooding and sea level rise	1	5233	3	Venice and its Lagoon	
Front Hill	1	4666	2	Summer Palace, Beijing	
Diverting cruise ships	1	4584	3	Venice and its Lagoon	
Qing dynasty	1	4455	2	Summer Palace, Beijing	
Modern era	1	4160	2	Historic City of Toledo	
Seat of the Khmer Empire	1	4025	2	Angkor	
Manuscripts and libraries	1	3861	2	Timbuktu	
Parks	1	3815	2	Historic Centre of Vienna	
Tourist activity	1	3526	2	Historic Sanctuary of Machu Picchu	
Christianity	1	3373	2	Samarkand	
Cossack period and Russian suzerainty	1	3354	2	Kyiv (Saint-Sophia Cathedral)	
1911 American Expedition	1	3337	3	Historic Sanctuary of Machu Picchu	
Visitors, desecration and damage	1	3293	1	Ellora Caves	
Interpretation	1	3246	1	Göbekli Tepe	
19th and 20th centuries	1	2981	2	Petra	
Large enclosures	1	2981	2	Göbekli Tepe	
Soviet era	1	2920	2	Kyiv (Saint-Sophia Cathedral)	
Early Islamic era	1	2869	2	Samarkand	
Dawn of village life	1	2790	1	Göbekli Tepe	
Attacks	1	2789	3	Timbuktu	
Daily life in Machu Picchu	1	2762	3	Historic Sanctuary of Machu Picchu	
Centre of learning	1	2758	2	Timbuktu	
Building phases	1	2654	2	Göbekli Tepe	
Roman era and late antiquity	1	2613	2	Historic City of Toledo	
Emergence of Petra	1	2448	2	Petra	
Glass	1	2414	2	Venice and its Lagoon	
Danube	1	2381	3	Historic Centre of Vienna	
The Dashavatara: Cave 15	1	2365	2	Ellora Caves	
Ethnic composition	1	2349	2	Kyiv (Saint-Sophia Cathedral)	
Abandonment and resettling (15th through 19th centuries)	1	2342	2	Cahokia Mounds	
Anschluss and World War II	1	2307	2	Historic Centre of Vienna	
The Kailasha temple: Cave 16	1	2290	2	Ellora Caves	
The Vishvakarma Cave	1	2283	2	Ellora Caves	
City centre	1	2263	2	Petra	
Restoration, preservation, and threats	1	2245	2	Angkor	
Mound 72	1	2225	2	Cahokia Mounds	
